編號,縣市,A.住宅部門,B.服務業部門,C.機關用電(政府+包燈+大專院校),D.工業,E.其他,合計(A~E)
1,新北市,41,27.68,3.1,28.08,0.14,100
2,台北市,33.22,54.42,8.51,3.76,0.1,100
3,桃園市,17.4,14.88,1.99,65.54,0.19,100
4,台中市,18.83,16.25,2.14,62.26,0.53,100
5,台南市,14.01,10.19,1.68,72.64,1.48,100
6,高雄市,19.35,17.57,2.96,59.29,0.83,100
7,宜蘭縣,26.82,22.36,4.06,44.68,2.07,100
8,新竹縣,12.97,9.28,1.42,76.1,0.24,100
9,苗栗縣,15.08,9.66,1.96,72.82,0.48,100
10,彰化縣,21.91,17.39,2.34,53.89,4.46,100
11,南投縣,30.85,21.34,4.42,39.75,3.63,100
12,雲林縣,24.27,13.99,2.97,51.45,7.32,100
13,嘉義縣,31.58,17.08,5,36.79,9.56,100
14,屏東縣,33.4,21.7,4.52,25.01,15.38,100
15,台東縣,40.9,36.58,7.76,11.82,2.94,100
16,花蓮縣,26.64,27.42,6.54,38.31,1.09,100
17,基隆市,47.26,32.84,5.35,14.55,0.01,100
18,新竹市,9.7,11.2,2.18,76.83,0.1,100
19,嘉義市,43.56,41.85,5.59,8.42,0.57,100
20,澎湖縣,38.59,39.89,9.86,10.71,0.95,100
21,金門縣,38.32,36.35,12.62,11.73,0.98,100
22,連江縣,34.3,43.08,12.72,9.8,0.11,100
註:2020年度各縣市住宅.服務業.機關及工業用電比例,,,,,,,
