 用電負載量 (契約容量) ,,,,,,,,,,,,,,,
,,資料更新日期：,,,,,,,,,,,2021/6/7,,
單位：萬kW,,,,,,,,,,,,,,,
園區別,,年度,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,最高契約容量
南部科學園區,台南園區,98年,56.14,56.49,61.97,64.4,66.16,67.45,67.96,74,74.11,74.63,72.96,73.91,74.63
,,99年,75.81,75.14,74.66,75.91,76.6,78.13,78.91,77.89,78.37,79.35,80.33,80.3,80.33
,,100年,81.78,82.88,83.5,83.77,87.06,87.24,87.1,86.58,86.94,87.13,87.09,84.19,87.24
,,101年,84.39,87.4,88.47,89.31,91.52,91.51,91.92,92.24,92.44,92.44,91.9,91.87,92.44
,,102年,91.86,90.73,90.58,92.71,94.59,94.59,97.18,97.2,97.21,97.32,98.23,99.1,99.1
,,103年,100.3,100.3,104.32,106.68,109.59,111.11,111.11,111.9,112.84,111.86,112.43,112.31,112.84
,,104年,112.54,112.7,113.48,115.04,115.58,115.81,116.28,116.15,116.02,116.07,115.96,115.38,116.28
,,105年,114.88,120.69,121.36,122.19,123.25,123.86,124.1,124.47,124,123.32,121.83,121.57,124.47
,,106年,121.31,121.46,121.66,122.02,122.74,123.11,123.12,123.25,123.07,122.91,122.38,121.71,123.25
,,107年,121.14,120.83,122.16,122.47,123.5,123.5,123.81,123.62,123.35,123,122.67,122.67,123.81
,,108年,122.58,123.22,122.23,122.23,122.01,122.41,122.7,132.01,132.2,132.6,132.3,132.65,132.65
,,109年,140.03,144.09,147.25,148.58,150.79,153.16,155.87,156.87,156.81,156.65,156.75,157.44,157.44
,,110年,158.9,161.53,161.71,162.49,,,,,,,,,
,高雄園區,98年,3.8,3.06,2.6,2.6,2.59,2.6,2.59,2.54,3.04,3.44,3.64,4.02,4.02
,,99年,4.26,4.26,4.32,4.52,4.65,4.97,5.18,5.19,5.59,5.57,5.56,5.81,5.81
,,100年,6.26,6.44,6.44,6.47,6.63,6.88,6.84,5.89,6.63,6.63,6.61,8.12,8.12
,,101年,8.12,8.22,8.4,8.9,8.98,9.32,9.34,9.34,9.32,9.32,9.37,9.37,9.37
,,102年,9.34,9.34,9.48,9.52,9.57,9.66,9.69,9.68,9.66,9.67,9.81,9.81,9.81
,,103年,9.76,9.74,9.77,9.87,9.89,9.92,9.94,9.94,9.94,9.93,9.92,9.92,9.94
,,104年,9.9,9.9,9.92,9.9,10.02,10.03,10.18,10.5,10.7,11.05,11.51,11.81,11.81
,,105年,11.8,11.84,12.22,12.24,12.81,13.47,13.55,13.89,14.57,14.91,15.41,15.56,15.56
,,106年,16.28,16.28,17.05,17.32,17.35,17.58,18.14,18.2,19.12,18.41,18.41,18.43,19.12
,,107年,18.43,18.42,18.09,18.18,18.18,18.22,18.04,18.03,17.02,16.91,16.96,16.97,18.43
,,108年,17.02,16.91,16.89,16.89,17.01,17,17.12,17.12,17.33,17.33,17.3,17.32,17.33
,,109年,17.34,17.32,17.34,17.31,17.24,17.23,17.35,17.38,17.38,17.4,17.4,17.35,17.4
,,110年,17.36,17.36,17.36,17.45,,,,,,,,,
台南+高雄 全園區 合計,,98年,59.94,59.55,64.57,67,68.75,70.05,70.55,76.54,77.15,78.07,76.6,77.93,78.65
,,99年,80.07,79.4,78.98,80.43,81.25,83.1,84.09,83.08,83.96,84.92,85.89,86.11,86.14
,,100年,88.04,89.32,89.94,90.24,93.69,94.12,93.94,92.47,93.57,93.76,93.7,92.31,95.36
,,101年,92.51,95.62,96.87,98.21,100.5,100.83,101.26,101.58,101.76,101.76,101.26,101.23,101.81
,,102年,101.2,100.07,100.06,102.24,104.16,104.25,106.87,106.88,106.87,106.99,108.04,108.91,108.91
,,103年,110.06,110.04,114.09,116.55,119.48,121.03,121.05,121.84,122.78,121.79,122.35,122.23,122.78
,,104年,122.44,122.6,123.4,124.94,125.6,125.84,126.46,126.65,126.72,127.12,127.47,127.19,128.09
,,105年,126.68,132.53,133.58,134.44,136.06,137.33,137.65,138.36,138.56,138.23,137.24,137.13,140.03
,,106年,137.59,137.75,138.7,139.33,140.09,140.69,141.26,141.45,142.19,141.32,140.79,140.14,142.37
,,107年,139.57,139.25,140.25,140.65,141.68,141.72,141.85,141.65,140.37,139.91,139.63,139.64,142.24
,,108年,139.6,140.13,139.12,139.12,139.02,139.41,139.82,149.13,149.53,149.93,149.6,149.97,149.98
,,109年,157.37,161.41,164.59,165.89,168.03,170.39,173.22,174.25,174.19,174.05,174.15,174.79,174.84
,,110年,176.26,178.89,179.07,179.94,,,,,,,,,
