GroupID,SubjectID,Leader,PreCollaboration_DiscountRate,Collaboration_DiscountRate,PostCollaboration_DiscountRate
1,1,0,2.289806593,2.9144441,2.087972195
1,2,0,3.689879195,2.9144441,3.340352711
1,3,1,3.921418053,2.9144441,3.083086362
2,4,1,2.651004914,3.484269619,3.880835172
2,5,0,2.999754035,3.484269619,3.920112264
2,6,0,3.229959514,3.484269619,3.030235633
3,7,0,.872568084,2.633795459,2.30582018
3,8,1,2.994108149,2.633795459,3.009391991
3,9,0,1.818018617,2.633795459,2.587550608
4,10,1,1.751570272,1.823227749,1.887251864
4,11,0,2.343366811,1.823227749,1.798191653
4,12,0,.745211735,1.823227749,1.823211818
5,13,0,3.081212324,2.685448664,2.687516276
5,14,1,2.763045256,2.685448664,2.671666995
5,15,0,2.37491205,2.685448664,2.068156404
6,16,0,2.397465964,2.679346947,2.948726644
6,17,0,2.532621093,2.679346947,2.688298684
6,18,1,3.335436579,2.679346947,2.752713021
7,19,0,1.195453074,2.651622666,2.774473594
7,20,1,2.748184682,2.651622666,2.699770356
7,21,0,3.250690528,2.651622666,2.819357513
8,22,1,2.021781991,2.108192322,2.397711765
8,23,0,3.02079463,2.108192322,2.067037538
8,24,0,3.178819059,2.108192322,2.759551806
9,25,0,.707932824,2.054256703,1.222410409
9,26,1,2.700155905,2.054256703,2.745497382
9,27,0,1.861077564,2.054256703,1.656755548
10,28,0,1.798062587,2.618869687,2.615317334
10,29,0,2.530084686,2.618869687,2.616243837
10,30,1,2.595299285,2.618869687,3.101005976
11,31,1,2.477560904,2.680964752,2.882154394
11,32,0,3.172826022,2.680964752,2.874134812
11,33,0,2.353667842,2.680964752,2.519539149
12,34,0,2.83062229,2.832562076,3.077343825
12,35,0,2.654987351,2.832562076,2.930551336
12,36,1,2.99634337,2.832562076,2.713309286
13,37,0,2.787332494,.71457543,.691751085
13,38,1,.579725619,.71457543,.543208082
13,39,0,2.2999711,.71457543,.812914642
14,40,0,4.077642484,3.536391214,3.767245183
14,41,0,2.734554592,3.536391214,4.023511795
14,42,1,3.526181849,3.536391214,3.483830401
15,43,1,2.447267157,2.810078868,2.74870903
15,44,0,3.171251687,2.810078868,2.924719402
15,45,0,2.826253718,2.810078868,2.726753283
16,46,1,.330541431,.935885459,.283626856
16,47,0,4.867550507,.935885459,.034031488
16,48,0,4.322419288,.935885459,2.524380485
17,49,0,2.451236317,2.127436958,2.489751288
17,50,1,2.583979425,2.127436958,2.304760407
17,51,0,2.71184278,2.127436958,2.356097639
18,52,0,1.557842771,2.081715521,1.988166659
18,53,0,3.864965959,2.081715521,2.702360242
18,54,1,1.955437785,2.081715521,2.135460233
19,55,0,2.103096782,2.442854856,2.500572017
19,56,1,2.512445001,2.442854856,2.725337192
19,57,0,1.800977418,2.442854856,2.518159845
20,58,1,2.305482191,2.381556537,2.328136433
20,59,0,2.822742632,2.381556537,2.882566644
20,60,0,3.171322487,2.381556537,2.64526737
